Performing system checks...

System check identified no issues (0 silenced).
March 11, 2022 - 17:10:48
[22/Mar/2022 22:32:36] "GET /opds/thumb/40834/ HTTP/1.1" 200 3136
[22/Mar/2022 22:32:36] "GET /opds/thumb/83898/ HTTP/1.1" 200 2634
[22/Mar/2022 22:32:36] "GET /opds/thumb/743143/ HTTP/1.1" 200 2203
[22/Mar/2022 22:32:36] "GET /opds/thumb/733455/ HTTP/1.1" 200 2574
[22/Mar/2022 22:32:36] "GET /opds/thumb/721121/ HTTP/1.1" 200 2445
[22/Mar/2022 22:32:36] "GET /opds/thumb/572300/ HTTP/1.1" 200 2412
[22/Mar/2022 22:32:36] "GET /opds/thumb/107134/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:36] "GET /opds/thumb/116730/ HTTP/1.1" 200 2682
[22/Mar/2022 22:32:37] "GET /opds/thumb/87294/ HTTP/1.1" 200 2658
[22/Mar/2022 22:32:37] "GET /opds/thumb/83298/ HTTP/1.1" 200 2688
[22/Mar/2022 22:32:37] "GET /opds/thumb/45208/ HTTP/1.1" 200 3284
[22/Mar/2022 22:32:37] "GET /opds/thumb/113637/ HTTP/1.1" 200 2381
[22/Mar/2022 22:32:37] "GET /opds/thumb/74954/ HTTP/1.1" 200 3309
[22/Mar/2022 22:32:37] "GET /opds/thumb/74955/ HTTP/1.1" 200 3263
[22/Mar/2022 22:32:37] "GET /opds/thumb/70019/ HTTP/1.1" 200 2748
[22/Mar/2022 22:32:37] "GET /opds/thumb/89615/ HTTP/1.1" 200 3347
[22/Mar/2022 22:32:37] "GET /opds/thumb/695900/ HTTP/1.1" 200 1952
[22/Mar/2022 22:32:37] "GET /opds/thumb/703095/ HTTP/1.1" 200 3071
[22/Mar/2022 22:32:37] "GET /opds/thumb/124539/ HTTP/1.1" 200 2820
[22/Mar/2022 22:32:37] "GET /opds/thumb/460034/ HTTP/1.1" 200 3298
[22/Mar/2022 22:32:37] "GET /opds/thumb/113639/ HTTP/1.1" 200 2469
[22/Mar/2022 22:32:37] "GET /opds/thumb/45211/ HTTP/1.1" 200 2890
[22/Mar/2022 22:32:38] "GET /opds/thumb/113280/ HTTP/1.1" 200 2517
[22/Mar/2022 22:32:38] "GET /opds/thumb/116731/ HTTP/1.1" 200 1984
[22/Mar/2022 22:32:38] "GET /opds/thumb/121258/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:38] "GET /opds/thumb/441653/ HTTP/1.1" 200 3457
[22/Mar/2022 22:32:44] "GET /web/search/books/?searchtype=a&searchterms=23295 HTTP/1.1" 200 114576
[22/Mar/2022 22:32:44] "GET /opds/thumb/614477/ HTTP/1.1" 200 1984
[22/Mar/2022 22:32:44] "GET /opds/thumb/715544/ HTTP/1.1" 200 2674
[22/Mar/2022 22:32:44] "GET /opds/thumb/545289/ HTTP/1.1" 200 2586
[22/Mar/2022 22:32:44] "GET /opds/thumb/681775/ HTTP/1.1" 200 3048
[22/Mar/2022 22:32:44] "GET /opds/thumb/682533/ HTTP/1.1" 200 2985
[22/Mar/2022 22:32:44] "GET /opds/thumb/650364/ HTTP/1.1" 200 2985
[22/Mar/2022 22:32:44] "GET /opds/thumb/587042/ HTTP/1.1" 200 2496
[22/Mar/2022 22:32:45] "GET /opds/thumb/649400/ HTTP/1.1" 200 2670
[22/Mar/2022 22:32:45] "GET /opds/thumb/760501/ HTTP/1.1" 200 2331
[22/Mar/2022 22:32:45] "GET /opds/thumb/66576/ HTTP/1.1" 200 2752
[22/Mar/2022 22:32:45] "GET /opds/thumb/547871/ HTTP/1.1" 200 2375
[22/Mar/2022 22:32:45] "GET /opds/thumb/761667/ HTTP/1.1" 200 2309
[22/Mar/2022 22:32:45] "GET /opds/thumb/493466/ HTTP/1.1" 200 2554
[22/Mar/2022 22:32:45] "GET /opds/thumb/476744/ HTTP/1.1" 200 3570
[22/Mar/2022 22:32:45] "GET /opds/thumb/573362/ HTTP/1.1" 200 2768
[22/Mar/2022 22:32:45] "GET /opds/thumb/763468/ HTTP/1.1" 200 2936
[22/Mar/2022 22:32:45] "GET /opds/thumb/576914/ HTTP/1.1" 200 2869
[22/Mar/2022 22:32:45] "GET /opds/thumb/738547/ HTTP/1.1" 200 2912
[22/Mar/2022 22:32:45] "GET /opds/thumb/149853/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:45] "GET /opds/thumb/545244/ HTTP/1.1" 200 2764
[22/Mar/2022 22:32:45] "GET /opds/thumb/97088/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:45] "GET /opds/thumb/66566/ HTTP/1.1" 200 3353
[22/Mar/2022 22:32:45] "GET /opds/thumb/613146/ HTTP/1.1" 200 2783
[22/Mar/2022 22:32:46] "GET /opds/thumb/617977/ HTTP/1.1" 200 2601
[22/Mar/2022 22:32:46] "GET /opds/thumb/544936/ HTTP/1.1" 200 3222
[22/Mar/2022 22:32:46] "GET /opds/thumb/556314/ HTTP/1.1" 200 3058
[22/Mar/2022 22:32:46] "GET /opds/thumb/576824/ HTTP/1.1" 200 2819
[22/Mar/2022 22:32:46] "GET /opds/thumb/133234/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:46] "GET /opds/thumb/86224/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:46] "GET /opds/thumb/699998/ HTTP/1.1" 200 3183
[22/Mar/2022 22:32:46] "GET /opds/thumb/553736/ HTTP/1.1" 200 2248
[22/Mar/2022 22:32:46] "GET /opds/thumb/66634/ HTTP/1.1" 200 3694
[22/Mar/2022 22:32:46] "GET /opds/thumb/763467/ HTTP/1.1" 200 2949
[22/Mar/2022 22:32:46] "GET /opds/thumb/720112/ HTTP/1.1" 200 2441
[22/Mar/2022 22:32:46] "GET /opds/thumb/751385/ HTTP/1.1" 200 3311
[22/Mar/2022 22:32:46] "GET /opds/thumb/588541/ HTTP/1.1" 200 2982
[22/Mar/2022 22:32:46] "GET /opds/thumb/545247/ HTTP/1.1" 200 2755
[22/Mar/2022 22:32:46] "GET /opds/thumb/588433/ HTTP/1.1" 200 2947
[22/Mar/2022 22:32:46] "GET /opds/thumb/647338/ HTTP/1.1" 200 1939
[22/Mar/2022 22:32:47] "GET /opds/thumb/737202/ HTTP/1.1" 200 2000
[22/Mar/2022 22:32:47] "GET /opds/thumb/573939/ HTTP/1.1" 200 3046
[22/Mar/2022 22:32:47] "GET /opds/thumb/724370/ HTTP/1.1" 200 3131
[22/Mar/2022 22:32:47] "GET /opds/thumb/724307/ HTTP/1.1" 200 3131
[22/Mar/2022 22:32:47] "GET /opds/thumb/617860/ HTTP/1.1" 200 2444
[22/Mar/2022 22:32:47] "GET /opds/thumb/30278/ HTTP/1.1" 200 2588
[22/Mar/2022 22:32:47] "GET /opds/thumb/575161/ HTTP/1.1" 200 2595
[22/Mar/2022 22:33:08] "GET /web/search/books/?searchtype=g&searchterms=213 HTTP/1.1" 200 132190
[22/Mar/2022 22:33:08] "GET /opds/thumb/551493/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:08] "GET /opds/thumb/462204/ HTTP/1.1" 200 3474
[22/Mar/2022 22:33:08] "GET /opds/thumb/473356/ HTTP/1.1" 200 3124
----------------------------------------
Exception occurred during processing of request from ('192.168.254.23', 61768)
----------------------------------------
Exception occurred during processing of request from ('192.168.254.23', 61767)
[22/Mar/2022 22:33:08] "GET /opds/thumb/570198/ HTTP/1.1" 200 2943
Traceback (most recent call last):
Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 683, in process_request_thread
    self.finish_request(request, client_address)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 683, in process_request_thread
    self.finish_request(request, client_address)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 360, in finish_request
    self.RequestHandlerClass(request, client_address, self)
[22/Mar/2022 22:33:08] "GET /opds/thumb/504076/ HTTP/1.1" 200 2621
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 360, in finish_request
    self.RequestHandlerClass(request, client_address, self)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 747, in __init__
    self.handle()
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 171, in handle
    self.handle_one_request()
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 179, in handle_one_request
    self.raw_requestline = self.rfile.readline(65537)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socket.py", line 705, in readinto
    return self._sock.recv_into(b)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 747, in __init__
    self.handle()
ConnectionResetError: [Errno 54] Connection reset by peer
----------------------------------------
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 171, in handle
    self.handle_one_request()
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 179, in handle_one_request
    self.raw_requestline = self.rfile.readline(65537)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socket.py", line 705, in readinto
    return self._sock.recv_into(b)
ConnectionResetError: [Errno 54] Connection reset by peer
----------------------------------------
[22/Mar/2022 22:33:08] "GET /opds/thumb/39172/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:14] "GET /web/genre/ HTTP/1.1" 200 14076
[22/Mar/2022 22:33:14] "GET /opds/thumb/28326/ HTTP/1.1" 200 3018
[22/Mar/2022 22:33:16] "GET /web/genre/?section=225 HTTP/1.1" 200 10820
[22/Mar/2022 22:33:16] "GET /opds/thumb/490944/ HTTP/1.1" 200 2671
[22/Mar/2022 22:33:19] "GET /web/search/books/?searchtype=g&searchterms=228 HTTP/1.1" 200 116733
[22/Mar/2022 22:33:20] "GET /opds/thumb/610634/ HTTP/1.1" 200 3368
[22/Mar/2022 22:33:20] "GET /opds/thumb/664359/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:20] "GET /opds/thumb/719452/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:20] "GET /opds/thumb/431836/ HTTP/1.1" 200 3401
[22/Mar/2022 22:33:20] "GET /opds/thumb/583291/ HTTP/1.1" 200 3891
[22/Mar/2022 22:33:20] "GET /opds/thumb/96517/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:20] "GET /opds/thumb/664736/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:20] "GET /opds/thumb/146146/ HTTP/1.1" 200 2928
[22/Mar/2022 22:33:20] "GET /opds/thumb/719451/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:20] "GET /opds/thumb/426433/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:20] "GET /opds/thumb/523086/ HTTP/1.1" 200 3258
[22/Mar/2022 22:33:20] "GET /opds/thumb/79973/ HTTP/1.1" 200 2673
[22/Mar/2022 22:33:21] "GET /opds/thumb/79978/ HTTP/1.1" 200 2781
[22/Mar/2022 22:33:21] "GET /opds/thumb/712944/ HTTP/1.1" 200 2705
[22/Mar/2022 22:33:21] "GET /opds/thumb/79976/ HTTP/1.1" 200 2743
[22/Mar/2022 22:33:21] "GET /opds/thumb/64958/ HTTP/1.1" 200 2820
[22/Mar/2022 22:33:21] "GET /opds/thumb/475412/ HTTP/1.1" 200 2761
[22/Mar/2022 22:33:22] "GET /opds/thumb/50812/ HTTP/1.1" 200 2730
[22/Mar/2022 22:33:22] "GET /opds/thumb/439193/ HTTP/1.1" 200 2821
[22/Mar/2022 22:33:22] "GET /opds/thumb/664786/ HTTP/1.1" 200 2633
[22/Mar/2022 22:33:22] "GET /opds/thumb/48127/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:22] "GET /opds/thumb/501367/ HTTP/1.1" 200 2491
[22/Mar/2022 22:33:22] "GET /opds/thumb/119447/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:22] "GET /opds/thumb/453540/ HTTP/1.1" 200 3723
[22/Mar/2022 22:33:22] "GET /opds/thumb/711417/ HTTP/1.1" 200 2722
[22/Mar/2022 22:33:22] "GET /opds/thumb/741819/ HTTP/1.1" 200 2663
[22/Mar/2022 22:33:22] "GET /opds/thumb/150431/ HTTP/1.1" 200 3711
[22/Mar/2022 22:33:22] "GET /opds/thumb/470637/ HTTP/1.1" 200 2480
[22/Mar/2022 22:33:22] "GET /opds/thumb/504418/ HTTP/1.1" 200 2820
[22/Mar/2022 22:33:22] "GET /opds/thumb/753430/ HTTP/1.1" 200 2919
[22/Mar/2022 22:33:22] "GET /opds/thumb/77659/ HTTP/1.1" 200 2210
[22/Mar/2022 22:33:22] "GET /opds/thumb/96516/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:22] "GET /opds/thumb/31137/ HTTP/1.1" 200 2210
[22/Mar/2022 22:33:22] "GET /opds/thumb/745735/ HTTP/1.1" 200 2255
[22/Mar/2022 22:33:22] "GET /opds/thumb/664769/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/513305/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/727493/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/117677/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/520814/ HTTP/1.1" 200 2351
[22/Mar/2022 22:33:23] "GET /opds/thumb/647246/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/115478/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/40918/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/648013/ HTTP/1.1" 200 2848
[22/Mar/2022 22:33:23] "GET /opds/thumb/497232/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/76533/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/497233/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/513570/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/527259/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/98535/ HTTP/1.1" 200 3205
[22/Mar/2022 22:33:23] "GET /opds/thumb/18872/ HTTP/1.1" 200 3694
[22/Mar/2022 22:33:23] "GET /opds/thumb/119271/ HTTP/1.1" 200 1544
[22/Mar/2022 22:33:23] "GET /opds/thumb/732147/ HTTP/1.1" 200 3803
[22/Mar/2022 22:33:23] "GET /opds/thumb/491257/ HTTP/1.1" 200 3798
[22/Mar/2022 22:33:23] "GET /opds/thumb/654503/ HTTP/1.1" 200 2911
[22/Mar/2022 22:34:19] "GET /opds/download/745735/0/ HTTP/1.1" 200 575300
[22/Mar/2022 22:34:25] "GET /opds/download/96516/0/ HTTP/1.1" 200 111924
[22/Mar/2022 22:34:32] "GET /web/search/books/?searchtype=g&searchterms=228&page=5 HTTP/1.1" 200 105441
[22/Mar/2022 22:34:33] "GET /opds/thumb/41355/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/41191/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/41297/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/149788/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/497240/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/648724/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/61222/ HTTP/1.1" 200 3224
[22/Mar/2022 22:34:33] "GET /opds/thumb/744691/ HTTP/1.1" 200 2677
[22/Mar/2022 22:34:33] "GET /opds/thumb/648676/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/75609/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/664840/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/101318/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:33] "GET /opds/thumb/725429/ HTTP/1.1" 200 1828
[22/Mar/2022 22:34:33] "GET /opds/thumb/677079/ HTTP/1.1" 200 2989
[22/Mar/2022 22:34:34] "GET /opds/thumb/6919/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/97936/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/6920/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/497241/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/497242/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/621824/ HTTP/1.1" 200 3356
[22/Mar/2022 22:34:34] "GET /opds/thumb/649000/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/511546/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/648870/ HTTP/1.1" 200 2191
[22/Mar/2022 22:34:34] "GET /opds/thumb/497243/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/497230/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/489618/ HTTP/1.1" 200 2038
[22/Mar/2022 22:34:34] "GET /opds/thumb/7354/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/76920/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/511677/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/701776/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:34] "GET /opds/thumb/701006/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/101319/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/511845/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/621821/ HTTP/1.1" 200 3283
[22/Mar/2022 22:34:35] "GET /opds/thumb/497244/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/115332/ HTTP/1.1" 200 1645
[22/Mar/2022 22:34:35] "GET /opds/thumb/115362/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/7381/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/115662/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/512071/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/511929/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/497245/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/101315/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/137066/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/512302/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/621853/ HTTP/1.1" 200 2625
[22/Mar/2022 22:34:35] "GET /opds/thumb/594202/ HTTP/1.1" 200 2714
[22/Mar/2022 22:34:35] "GET /opds/thumb/493623/ HTTP/1.1" 200 3164
[22/Mar/2022 22:34:35] "GET /opds/thumb/701120/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:35] "GET /opds/thumb/123303/ HTTP/1.1" 200 2850
[22/Mar/2022 22:34:35] "GET /opds/thumb/703894/ HTTP/1.1" 200 3008
[22/Mar/2022 22:34:36] "GET /opds/thumb/67925/ HTTP/1.1" 200 2230
[22/Mar/2022 22:34:36] "GET /opds/thumb/101316/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:36] "GET /opds/thumb/7972/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:36] "GET /opds/thumb/34737/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:36] "GET /opds/thumb/512423/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:36] "GET /opds/thumb/466668/ HTTP/1.1" 200 2893
[22/Mar/2022 22:34:36] "GET /opds/thumb/8049/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:36] "GET /opds/thumb/706557/ HTTP/1.1" 200 2499
[22/Mar/2022 22:34:38] "GET /web/search/books/?searchtype=g&searchterms=228&page=8 HTTP/1.1" 200 123671
[22/Mar/2022 22:34:39] "GET /opds/thumb/121133/ HTTP/1.1" 200 2683
[22/Mar/2022 22:34:39] "GET /opds/thumb/136030/ HTTP/1.1" 200 3736
[22/Mar/2022 22:34:39] "GET /opds/thumb/87428/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:39] "GET /opds/thumb/546787/ HTTP/1.1" 200 2517
[22/Mar/2022 22:34:39] "GET /opds/thumb/656818/ HTTP/1.1" 200 2472
[22/Mar/2022 22:34:39] "GET /opds/thumb/469600/ HTTP/1.1" 200 2052
[22/Mar/2022 22:34:39] "GET /opds/thumb/141654/ HTTP/1.1" 200 1090
[22/Mar/2022 22:34:39] "GET /opds/thumb/691318/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:39] "GET /opds/thumb/531634/ HTTP/1.1" 200 2418
[22/Mar/2022 22:34:39] "GET /opds/thumb/505168/ HTTP/1.1" 200 3255
[22/Mar/2022 22:34:39] "GET /opds/thumb/94307/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:39] "GET /opds/thumb/94308/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:39] "GET /opds/thumb/50800/ HTTP/1.1" 200 2944
[22/Mar/2022 22:34:39] "GET /opds/thumb/746315/ HTTP/1.1" 200 3637
[22/Mar/2022 22:34:39] "GET /opds/thumb/607053/ HTTP/1.1" 200 3223
[22/Mar/2022 22:34:40] "GET /opds/thumb/608005/ HTTP/1.1" 200 1587
[22/Mar/2022 22:34:40] "GET /opds/thumb/30377/ HTTP/1.1" 200 2497
[22/Mar/2022 22:34:40] "GET /opds/thumb/582513/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:40] "GET /opds/thumb/35648/ HTTP/1.1" 200 2535
[22/Mar/2022 22:34:40] "GET /opds/thumb/554753/ HTTP/1.1" 200 2274
[22/Mar/2022 22:34:40] "GET /opds/thumb/105222/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:40] "GET /opds/thumb/759615/ HTTP/1.1" 200 2580
[22/Mar/2022 22:34:40] "GET /opds/thumb/531635/ HTTP/1.1" 200 2435
[22/Mar/2022 22:34:40] "GET /opds/thumb/456240/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:40] "GET /opds/thumb/456273/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:40] "GET /opds/thumb/736764/ HTTP/1.1" 200 2145
[22/Mar/2022 22:34:40] "GET /opds/thumb/17263/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:40] "GET /opds/thumb/561384/ HTTP/1.1" 200 1746
[22/Mar/2022 22:34:40] "GET /opds/thumb/690963/ HTTP/1.1" 200 4131
[22/Mar/2022 22:34:41] "GET /opds/thumb/108318/ HTTP/1.1" 200 2423
[22/Mar/2022 22:34:41] "GET /opds/thumb/665148/ HTTP/1.1" 200 3051
[22/Mar/2022 22:34:41] "GET /opds/thumb/430208/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:41] "GET /opds/thumb/772199/ HTTP/1.1" 200 970
[22/Mar/2022 22:34:41] "GET /opds/thumb/137563/ HTTP/1.1" 200 2845
[22/Mar/2022 22:34:41] "GET /opds/thumb/653766/ HTTP/1.1" 200 3205
[22/Mar/2022 22:34:41] "GET /opds/thumb/705963/ HTTP/1.1" 200 1159
[22/Mar/2022 22:34:41] "GET /opds/thumb/69846/ HTTP/1.1" 200 3348
[22/Mar/2022 22:34:41] "GET /opds/thumb/648358/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:41] "GET /opds/thumb/78116/ HTTP/1.1" 200 3212
[22/Mar/2022 22:34:41] "GET /opds/thumb/129103/ HTTP/1.1" 200 2195
[22/Mar/2022 22:34:41] "GET /opds/thumb/115866/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:41] "GET /opds/thumb/531632/ HTTP/1.1" 200 2418
[22/Mar/2022 22:34:41] "GET /opds/thumb/76548/ HTTP/1.1" 200 2354
[22/Mar/2022 22:34:41] "GET /opds/thumb/749825/ HTTP/1.1" 200 2459
[22/Mar/2022 22:34:41] "GET /opds/thumb/122722/ HTTP/1.1" 200 3473
[22/Mar/2022 22:34:41] "GET /opds/thumb/424933/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:42] "GET /opds/thumb/772086/ HTTP/1.1" 200 2346
[22/Mar/2022 22:34:42] "GET /opds/thumb/547955/ HTTP/1.1" 200 1395
[22/Mar/2022 22:34:42] "GET /opds/thumb/474521/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:42] "GET /opds/thumb/44914/ HTTP/1.1" 200 3694
[22/Mar/2022 22:34:42] "GET /opds/thumb/100392/ HTTP/1.1" 200 2495
[22/Mar/2022 22:34:42] "GET /opds/thumb/671749/ HTTP/1.1" 200 2464
[22/Mar/2022 22:34:42] "GET /opds/thumb/504896/ HTTP/1.1" 200 3175
[22/Mar/2022 22:34:42] "GET /opds/thumb/741990/ HTTP/1.1" 200 2514
[22/Mar/2022 22:34:42] "GET /opds/thumb/605658/ HTTP/1.1" 200 2501
[22/Mar/2022 22:34:42] "GET /opds/thumb/619439/ HTTP/1.1" 200 3694
----------------------------------------
Exception occurred during processing of request from ('192.168.254.23', 61855)
[22/Mar/2022 22:35:43] "GET /opds/thumb/150431/ HTTP/1.1" 200 3711
Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 683, in process_request_thread
    self.finish_request(request, client_address)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 360, in finish_request
    self.RequestHandlerClass(request, client_address, self)
----------------------------------------
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 747, in __init__
    self.handle()
Exception occurred during processing of request from ('192.168.254.23', 61858)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 171, in handle
    self.handle_one_request()
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 179, in handle_one_request
    self.raw_requestline = self.rfile.readline(65537)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socket.py", line 705, in readinto
    return self._sock.recv_into(b)
Traceback (most recent call last):
ConnectionResetError: [Errno 54] Connection reset by peer
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 683, in process_request_thread
    self.finish_request(request, client_address)
----------------------------------------
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 360, in finish_request
    self.RequestHandlerClass(request, client_address, self)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socketserver.py", line 747, in __init__
    self.handle()
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 171, in handle
    self.handle_one_request()
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/django/core/servers/basehttp.py", line 179, in handle_one_request
    self.raw_requestline = self.rfile.readline(65537)
  File "/Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/socket.py", line 705, in readinto
    return self._sock.recv_into(b)
